,GSM523282,GSM523283,GSM523284,GSM523285,GSM523286,GSM523287,GSM523288,GSM523289,GSM523290,GSM523291,GSM523292,GSM523293,GSM523294,GSM523295,GSM523296,GSM523297,GSM523298,GSM523299,GSM523300,GSM523301,GSM523302,GSM523303,GSM523304,GSM523305,GSM523306,GSM523307,GSM523308,GSM523309,GSM523310,GSM523311,GSM523312,GSM523313,GSM523314,GSM523315,GSM523316,GSM523317,GSM523318,GSM523319,GSM523320,GSM523321,GSM523322,GSM523323,GSM523324,GSM523325,GSM523326,GSM523327,GSM523328,GSM523329,GSM523330,GSM523331,GSM523332,GSM523333,GSM523334,GSM523335,GSM523336,GSM523337,GSM523338,GSM523339,GSM523340,GSM523341,GSM523342,GSM523343,GSM523344,GSM523345,GSM523346,GSM523347,GSM523348,GSM523349,GSM523350,GSM523351,GSM523352,GSM523353,GSM523354,GSM523355,GSM523356,GSM523357,GSM523358,GSM523359,GSM523360,GSM523361,GSM523362,GSM523363,GSM523364,GSM523365,GSM523366,GSM523367,GSM523368,GSM523369,GSM523370,GSM523371,GSM523372,GSM523373,GSM523374,GSM523375,GSM523376,GSM523377,GSM523378,GSM523379,GSM523380,GSM523381,GSM523382,GSM523383,GSM523384,GSM523385,GSM523386
ACACA,6.235009836,6.047374728,5.4927254505,6.223379251,5.2261996415,6.511878672,5.453520113,4.5327385485,5.5619800285,5.4700400280000006,6.02607856,4.908306287,5.985029468999999,6.227216487,5.7652560085,5.227394652,6.4253838185,6.0151873515,6.5146270600000005,6.2050316395,5.5506649725,5.383884898,5.0041253895,5.9410386829999995,7.002011709500001,6.013155404,6.1356975264999996,5.520858312,5.2765693795,6.027527715,5.454103014,6.553371863000001,5.315606192000001,6.3833498055,5.747243317500001,5.679991621,6.9419771955,6.1555205055,6.021005622500001,5.826372819,6.190943861000001,5.301601783000001,5.374528563500002,6.317953022,5.644021279499999,6.033742462999999,6.320712179,6.4073916010000005,5.4527184875,5.771753429,5.918958967,6.2501875264999995,5.971735976,5.981478352,5.951991789999999,5.7185270285000005,5.6078566775,6.2324780835,5.77360845,5.296616658,6.0071918615,5.794690925500001,5.8968807885,6.068621709,6.5037204595,6.1162446280000005,6.0643007135,5.6277574635,6.032325576,5.903951172000001,5.871307391,6.329348414499999,5.926824294499999,5.987731802,5.9856599865,5.6238511325000005,5.537168199,5.8896637715,5.43544515,5.961294072,5.7264616605,5.9596125035,5.60877359,5.709678631499999,5.788335495,6.4502298175,6.2418316664999995,5.636051078,5.779705943,5.907832727000001,6.222269869,5.9951180184999995,6.996667052000001,6.904707803000001,6.421035326,5.9643099195,6.1501854265,6.37284272,5.851861787500001,6.272136940499999,5.68025733,5.311577277,6.492323436500001,5.356772415,5.9363474155
ACACB,4.866339132,3.7996181840000003,3.6196716385,4.1568498055,6.9905438265,4.392163619,4.000235362,4.275345199,6.579829432,5.288176827,4.2811997675,3.6941961755,4.780143178,3.8883127305,4.8653843795,5.393984958,3.4454988215,4.775038584000001,4.3573667205,5.099900756,3.7503101685,4.0629371569999995,5.388269459,3.5713221490000002,4.341300664,4.5094776155,4.363035774,3.53449633,7.229037898,6.2947843615000005,4.3340755435,4.1388092279999995,5.8210416715,4.331134388000001,4.7575284525,3.9677780615,3.7499970915,3.3882829475,3.631887583,5.4113122695,4.0574788865,4.8273408700000005,6.7150666,4.681220463500001,3.3168427165,4.6770149585,4.5651072735,3.748609322,6.4843199935,4.6175372355,4.153756533,4.090104518,4.9116914355,3.8898775795,4.011767055,3.446379105,6.0653022915,3.8586998865,4.770828212,3.5649606609999998,3.5407100585,5.825667898000001,3.700331124,5.2134292030000005,4.207340252,4.73079609,4.235735699,4.9510527945,3.2687584745000002,3.5238853370000003,4.0775594005,4.0991419945,4.884232492000001,3.42972776,4.956984082,3.981733781,4.507102684,4.1043760415,5.458848952,3.863346974,4.361387540999999,4.2564939775,5.975157178,4.3484249765000005,4.271454834,4.5724725665,4.2669770305,6.0237363305,4.069264068,3.607493925,4.202685257500001,5.883248949,4.506165069,4.8994223434999995,4.743467121,6.1313002205,4.2890551385,4.2882137364999995,4.4718704250000005,3.8774751945,5.8048420535,3.6112740815000004,4.928387220499999,3.8125619445000005,3.909681869
ACAT1,9.401873855,8.269144915,9.212028249,8.125854259,10.66110581,9.005991284,6.944361009,8.802298581,10.60418648,10.09213212,9.032427074,9.276086283,8.887400713,8.465454847,9.026156452999999,9.949906713999999,9.433775208,9.91500377,7.404415801,9.143813766000001,9.452020603,8.99041198,10.31454435,9.648140161,8.718993291,8.168221217000001,8.469488137,8.185545608,9.387185372000001,9.842760424,9.17595666,8.402690856,10.33077124,9.149364416000001,8.803629394,9.2955119,8.569456553,8.757385702999999,7.879908056,9.266953164,8.40412298,8.246308211,10.35422699,9.399600413,9.149375331,9.09091188,8.992977044,8.655688162999999,10.66931089,9.290625669,7.759527202,9.298732807999999,8.072749858,8.869790015,9.060306557999999,9.21445282,10.42473136,9.036612395,9.002746248,8.271648167999999,8.492608123,9.79044656,9.321815123,9.618185699,8.682690435,8.478904765,8.425473467,9.902734313,8.89874544,8.42622467,8.523042424,9.259956111000001,8.675268973,7.460701093,9.196499081,8.723019766,10.02689207,9.071703583,10.82774179,8.458624609,8.674144355,8.21471387,9.887790907000001,9.60988073,9.137706432,9.064001088,9.477051694,9.781524243,8.644537161,8.13513702,8.421150739,10.57332872,8.382345998,9.728731482999999,8.269378075,10.32095614,8.409858117,9.065774457,9.085872676000001,8.162159146,10.02350713,8.334525722999999,9.174032561,9.156773284,7.828993189
ACAT2,9.259681053,9.024493563,7.795224068,8.898999509,7.496192418,8.789925833,8.650058617000001,7.825762619,7.21532972,7.774811259,8.125969987000001,7.23948575,7.908356161,7.780691091,8.128047197999999,8.137200384,10.41763617,8.15259628,8.211802626,7.621739286,8.717942287,7.438534937000001,8.233571165,9.065160922999999,9.13355648,7.838656132,8.189565177999999,8.653895707,6.932711958,9.482021223,9.796800802,8.65489754,7.564885108999999,7.782151925,7.69544671,8.664777389,10.04080446,8.19131457,7.567469692,7.682235153,8.191224805,9.001373344,8.146435606,8.666870739,9.585308696,7.888290339,8.385895726000001,8.511493976,8.732167327,8.975288027000001,7.7618146710000016,8.369768594,7.230108854,8.570867192,8.751251627,9.293003665,7.809282332,8.62430232,8.82346344,7.633173162,7.6208374060000015,8.467967577000001,8.798436731,8.486149764,8.588561807,8.455158175,8.557562848,9.269893046,8.576505535,9.588081012,7.73323336,8.262870883,8.363464195,7.452994216,8.108398555,10.93260156,9.647604266,9.197431016,8.464890459,8.01683237,8.002426207000001,8.211020692,7.727709175,9.02486096,7.826034109,7.768229702,9.405672378,8.292296685,8.134756895,8.952096839,9.814882557999999,7.429518695,8.666638841000001,9.871138958,8.139648595,8.710990522000001,8.628476755,9.068633697000001,9.843695011,8.827619715,8.77765423,8.165633185,8.395355526,7.834799477000001,7.228692743
ACOT12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSS1,4.476088844,3.051982158,3.579657651,3.995071409,5.005085688,3.890964329,4.115555766,4.380176128,4.971684136,4.410626059,4.379596426,5.936892807,5.323383142,4.585782228999999,3.808861921,4.278188882,5.556425797999999,4.466051718,4.544870059,4.997305551,3.796250927,3.798457619,3.920313068,3.516928229,4.724617842,4.909101158,5.850206125,5.732619867,2.975678885,4.458806264,2.58598624,4.795984333,4.462865177,3.502766304,4.473509622,5.676269235,4.200241871,4.418935207,4.288844268,5.195379136000001,3.415992798,3.798990707,4.703961567,4.566945442,4.33086541,5.5533032160000015,5.074846052,4.646968759,5.183830647,4.673035418,3.422234799,4.583143078,4.44178424,4.2793463639999985,5.338286809,4.639426643,4.597110689,4.690432386,4.960453817,3.606364753,4.209372924,4.776889728,5.034740249,4.254352379,4.2365883539999984,4.532363308,4.6319521130000005,3.848740235,4.016192968,4.197996838,4.547711185,5.042569146,5.513717064,4.3485877760000005,4.899517226,3.558969174,4.294178694,4.208033491,5.000807108,4.493495208,4.62381605,3.724879779,4.712903757,4.4024879210000005,5.030089167,4.986311697,5.645878532,4.2823904960000005,5.57391047,5.311032414,4.969859434,4.997575891,4.796118764,4.938711194,5.021233463,4.7788748430000005,3.61103483,4.533920698999999,6.528008046,5.262169562,4.851800559,4.349274508,4.582168445,4.242813945,4.70985564
ACSS2,9.732124131,8.22681576,7.922835285,8.867464683,10.38810597,8.499808657,9.987803344,8.041806444,10.14104028,9.218312474,8.607877437,8.360281862999999,8.524293353,7.226249772,8.971888397999999,8.878927993,9.295939416,9.882904952,7.700434425,8.769512707999999,7.442032142,7.816008115,9.406511001,8.338510694,8.291123446,7.375064465,8.791415452,8.200378069,8.103646443999999,10.10461745,8.725241542000001,8.669971882999999,9.907498602,7.458900673,8.233865601,8.686921669,9.239465623,8.14706251,7.567005262,8.181018835,8.221302563,7.666039457,9.399123577000001,8.106673004,8.130820246,9.089135449,8.786240781,8.288906331,10.32453518,8.943583964,7.674961365,7.8061280160000015,7.79570779,6.611106502,8.790658806,8.277084926,9.300830706000001,8.145516342,8.980586238999999,6.985549653,8.183963691,9.722747616,8.349486135,8.454420315,8.42452995,8.135155842,7.903788706,8.99398445,7.387400554,7.782034475,8.259017874,8.475533515,8.077121717,7.818190769,9.571859883,8.881926678,9.127388337000001,7.977856802000001,10.14311791,8.783101017,8.536525635,8.038041397,9.439351507000001,9.545819023,8.687947541,8.011097717,7.229742318,10.14708321,9.141739108,7.4151525939999985,8.778687601,10.09616836,7.829809037,8.926041326,8.453838192000001,10.05689654,7.3603284910000015,8.475989617,9.753604465,7.583004637999999,9.517619213,8.041617829,8.824267599,8.393882622000001,8.229938993
ACYP1,5.340059266,5.669356875,6.48100058,6.510525287,5.545276333,6.65965476,7.074498654,5.3248820210000005,5.6550465270000005,5.865488752999999,6.599771096,5.354555067,6.388584633,6.78586751,6.263320341,7.115229576,6.503662674,5.776011573,5.938232731,6.452509938,7.948990733,5.950243802999999,6.86234238,6.525226711,6.835647112999999,7.495664545,6.20453816,6.953411847999999,4.588187215,6.241673316,7.330339222,6.845902845,6.024759161,7.08080823,6.4458543860000015,6.535018579,7.486985503,6.498023729,6.146812228,6.514500212000001,7.128718277999999,6.199920913,6.432785032000001,6.791263393,6.733439587,5.570116583,7.000016416,7.254619577000001,6.728059922000001,6.976027687,7.703887026,6.695522072,7.023577962,7.125782891,6.307525816,7.854643848999999,6.938931587000001,6.548793653,7.164817447000001,7.228412904,7.217752177,6.940960456,6.591259715,6.078447199,6.764965508,5.774835724,7.504612943,7.204735652999999,5.224623614,7.807784466,6.463150975,7.436333369,6.844866408,6.41295744,6.520125697,6.5607962010000005,7.235086849,7.474817912000001,6.1259210820000005,5.451137701,6.225227899,5.860951809,6.248510883,5.33037722,5.004349921,5.987915963,6.470583467999999,6.137096152000001,6.642594794,7.102789429,7.1260890639999985,5.969107485,6.729393216,6.639730638,5.265002451,6.218705696000002,5.590753032,6.961736171,7.3498582689999985,6.65784302,7.381404355,6.291400189,5.734620562000001,6.25296674,7.933020521
ACYP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLAT,8.758890252666667,7.986769564333334,7.727655519333333,8.337100153666666,7.510699989999999,8.842115845666667,8.422918424666667,7.734156892000001,7.916097824333334,7.960301869666668,8.283971211,8.487139629,8.479934146333333,7.880283127666668,7.563556878,8.032774315,8.554525208,7.966476202,7.4402626493333335,8.264714605666667,8.307743191666667,7.989784398999999,8.369013740666666,8.462770625333334,8.444420810333334,8.138220248666668,8.626655264333333,7.050385591666667,7.750331243333332,8.735642958333333,7.507763340666667,8.176807276,8.208746258333333,8.824684090666667,8.122301062333333,8.128558883333334,8.573373265999999,8.010278257666668,7.750765519000001,8.557435424666666,8.721337288333332,7.7415925943333335,8.249203648333333,8.161048363333334,8.062648441666667,7.848938513,8.639036783,8.248714935666667,8.992087651333334,8.022992258333334,7.914474457666667,9.03532722,8.053735164,8.655987899333333,8.527165257333332,7.617150959,8.107630656,7.96368733,8.352071093333333,8.176232958333333,8.081421239666668,8.293750381,8.464540738666665,8.346046827,8.605396189999999,8.235755081,8.175937124,7.8563421746666675,7.867036262,8.412453583666666,7.605564704666666,8.296815031666666,8.131859726,7.757285343666669,8.568126663333334,8.339029566666667,8.118208327666666,7.759013353666667,8.626389881,8.264843833999999,8.233633568333333,8.357473623999999,7.8546924890000005,8.105153039000001,7.883200695333334,8.522521036666665,8.059328727999999,8.0046296,7.708175479666667,7.739136868666666,8.496097084333334,8.196616489,7.802523289333333,8.953770158,7.287501546000001,8.306851579333333,7.629235459333333,8.056627431666668,8.515147633333333,8.278746136666667,8.101122332666668,7.803006352,8.507128850666666,8.014167582666667,8.043293618666667
DLD,9.5766089255,8.801105886,7.9041450235,8.354847920000001,9.6786220055,9.539149476999999,9.9339175705,8.658013645,9.466561994500001,9.144589323,8.871399682,9.3795342495,9.722221365,9.561269513,9.009437781,8.991409508,9.382702673999999,9.6257036735,9.4560507775,9.220844243,9.037709971,8.9172079315,9.161394149,8.5979438605,10.215832334,9.3026489225,10.0553313725,9.8156391965,9.1229080385,9.7043047705,8.736110817,9.0752119995,9.550027895,9.537278505,8.959720197500001,9.165376131499999,9.0401076555,8.801070009,9.947004925,9.235831859000001,8.8829838185,9.1329532065,9.364111951000002,9.9097235455,9.1454985315,9.3099466745,9.558997847,8.7407894145,9.610122002499999,8.657216246,8.6678713075,9.0735470785,8.7419094925,9.257078331999999,9.370135781,8.467524226,9.2178470605,9.5743166815,9.733587074999999,8.4412744255,8.301842567,9.586263024,9.660083784,9.762491950000001,9.6187925185,9.5056538135,8.954079328,8.958383132,9.137418456499999,8.9047757995,9.243386688000001,8.90646039,9.557088989499999,9.4691030155,9.2030674515,9.041358316499998,8.7708863575,9.388491901,9.710069112,8.8760713355,8.9786380405,9.3257370625,9.251395276499998,9.024103944,8.9034326045,9.474560125,10.0981260055,9.577417604499999,9.3933726525,8.395219437,9.094054937,9.793359683,10.080197654,9.791631734,9.309493553,9.552059495,9.5789196065,9.009874703,9.786572700499999,10.0083904355,9.173055906999998,8.869675389,9.468566449499999,8.7113861415,9.00383811
GLO1,10.01950161,10.59736611,10.95649845,11.50779116,10.00105367,10.84999029,11.35310476,10.25919225,9.721769156,10.2068671,11.11213147,10.95428862,10.67686698,11.10477905,10.22549867,10.44410124,11.58193882,10.06504614,10.71327954,10.61309935,11.37904789,10.92781746,10.15954141,11.35013423,11.91194463,10.62398635,11.02871793,11.12332855,10.14413275,10.20706862,11.28985299,11.35456845,9.976723683,11.11583464,11.00347751,11.67436894,11.21612228,10.41654165,10.73802697,10.7490386,11.47371645,11.38485513,10.23182709,11.35126316,11.47557704,10.80786729,11.24061861,11.4472844,10.02685263,10.61004911,11.12533571,11.71436692,10.65336897,11.30022792,10.86443331,11.24830116,10.02049391,11.36606651,11.05259572,11.24893433,11.06510425,10.42509235,11.41406461,11.10398723,11.31173727,10.60634569,11.22890679,10.47466161,11.16790656,10.22304654,11.23102854,11.0774256,11.12222284,10.89827926,11.3324069,11.77303481,10.57161007,11.42834191,10.13840864,10.76915867,10.84341503,10.75497635,10.02961017,10.22561625,10.41413383,10.5951894,11.54604156,9.830698636000001,10.85703985,10.98484779,11.41849281,9.972597902,11.37323555,11.23229168,10.82306966,9.994098082,11.08764393,10.94447749,11.78425662,11.26558305,10.46732001,9.717611915,10.65092837,10.83487239,11.43828633
HAGH,7.173380551,6.7656122110000005,6.711577442,6.572938981,7.259181012999999,6.986893492,7.2662905260000015,7.238393525,6.984934732999999,7.19355046,7.116562497,6.952257604,6.492413533,6.243226407000001,6.519835365,7.38774969,7.5863169689999985,6.475785407999999,6.717844184,6.7899933070000005,7.562896374,5.932027141,7.55270451,7.39170244,7.116813586,6.545434584,7.347977577000001,7.296354985,6.748253386,7.444968512000001,7.749007812999999,6.878016716,7.312156733999998,6.976354046,6.25534239,7.232121507,7.30237337,7.101985936,5.782156006,7.02698262,7.082575692000001,7.438462581,7.526075627999999,7.362341783,7.264224945,6.997164939,7.029044377999999,7.333002245,7.97079553,7.730434217999999,7.9460126560000015,7.432353946,6.724876413,6.607492494,7.141076367999999,7.773601097,7.4016495089999985,6.703016961,6.961338419,7.538686396,7.953439903,7.426971722,7.240159405,7.239684348,7.161431104,6.113584516,7.431004435,7.6035426789999985,6.565164832000001,6.345689697,6.719633292,7.250438995,7.14663842,6.8118653789999986,7.49409739,7.476482526,7.653565566,8.636127146,7.278565541,7.34487544,6.8419380610000005,6.58679425,7.115098841,7.34807103,6.680304859,6.9046048189999985,7.5724732810000015,7.208438963,6.878261948,7.091801895,6.810484287,7.416317012,7.167359153,6.720633877999999,7.208927288,7.339756135,6.692714058,7.127648975,7.744748263,6.715517297000001,7.619631189,6.569589082,6.988766486,7.101818718,7.2848008910000015
HAGHL,3.513672895,3.657674377,4.153557664,3.437158703,4.011659425,3.907834038,4.146114192,3.821537574,3.435988327,3.819562049,5.924542465,4.779300652,3.903948527,4.464938461,3.5337901730000003,3.2261981060000005,3.68884159,3.532732859,3.888946144,4.40758274,3.863228661,3.696362459,3.394306565,4.877940939,3.740404826,3.720628311,3.893935828,3.760718396,3.312521807,3.344329642,4.934665442,3.647245324,3.3544975160000003,3.5310714360000004,4.013084028,5.597265022999999,4.78964442,4.236863134,4.069116147,4.294991432,4.625540695,3.701520051,4.1265506589999985,3.42132818,3.914283248,3.7756161,3.31796912,5.249015986,3.830726196,3.991166008,5.850381334,3.928034191,3.672752955,4.3187503289999984,3.511101174,4.365793186,4.085872343999998,3.906885107,3.941674347,5.215362874,5.127100872,3.702600074,4.359120085,3.49270772,4.110395701,3.0672081710000003,3.738015808,4.208122792,3.990541969,4.967100002,4.061155997,2.942776973,3.435294929,4.7589101330000005,4.141867774,4.847448054,3.526101975,3.766822541,4.369646055,3.677890317,3.503796487,3.788976002,3.528134278,3.4497703,4.155793802,3.957522423,3.239710961,3.549126397,4.026908746,4.27120339,5.06887165,3.526896858,4.3535447189999985,4.2402804960000005,4.454851063,3.437087649,3.328316522,4.481516561,5.542226371,4.235071097,3.545106413,4.404884489,3.672193253,4.668971572,4.905567004
LDHA,14.07859924,14.14256563,13.98769608,13.84317903,13.38160734,14.2344822,13.31847279,13.23657794,13.70019656,12.83596001,13.88383553,13.24352525,13.44790381,13.38614952,13.33506249,12.7118165,14.15169417,13.09207767,14.19974118,13.41488144,13.67375953,13.39083971,13.00113886,14.18847007,14.26986149,13.71785905,13.78951776,13.76334648,13.1034108,13.70539306,13.39290792,13.85292617,13.37640317,13.41046288,13.28588261,14.07636819,14.35122526,13.78486385,13.58805989,13.71261228,13.49677966,14.11534862,13.19263819,14.02086224,13.57456146,13.99516489,13.29791932,14.45812411,13.85508277,13.74295432,13.69980134,13.47990175,13.77989888,13.641910199999998,13.67926097,14.28742901,13.2620812,14.00880061,13.40270646,13.72044711,13.64875329,13.31397567,14.418389499999998,13.61574113,13.82318023,13.58745935,13.47638359,12.76005344,14.21896226,14.1318337,13.36900405,13.58506671,13.54272343,13.42672091,13.17750255,13.99173845,12.9930726,13.98840187,13.69049896,13.72648562,13.75093355,14.09617423,12.85760409,14.34379291,13.06743729,13.88581002,14.31319364,13.48770409,13.77155615,13.78184976,13.85812119,13.246614,13.8363823,14.00689446,13.75209798,13.36001479,14.11742421,13.88168216,14.10864009,14.13225985,12.77331589,13.37684176,13.80908262,13.26719517,13.81425134
LDHAL6A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDHAL6B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDHB,12.33551759,11.85909542,12.558935275,12.8948688,11.226351545,12.63975817,11.548338735000002,11.48736002,11.160562075,11.351965615000001,12.509650480000001,12.796669965,12.473019260000001,12.31775949,10.88551476,11.447409505,12.987577609999999,11.237791735,12.558108390000001,12.28136016,12.5343695,11.705608269999999,11.59919128,12.458591304999999,13.73509974,11.111418995,12.186594835000001,12.278888765000001,11.967314565,12.002216775,10.768688189999999,12.874469665,10.831765525,12.845302915,12.271493185,12.203334605,12.397221895000001,12.098017755,11.997621899999999,12.463403535,12.334545644999999,11.517953715,11.620179165,12.898719475,12.091401605,11.656538009999998,12.69978909,12.25336379,11.24475449,11.483500074999998,12.194197599999999,13.254321315,11.930363015000001,12.761183985,12.809170495,12.366229905,11.518203329999999,12.5268681,12.306877985,12.221375495,12.48457948,12.10228605,13.103099284999999,13.303062525,12.89023581,12.09553382,11.612416105000001,11.25897383,12.900838104999998,13.04761725,13.004415784999999,11.82156704,12.665198010000001,11.31471249,11.546756365,12.492875215,11.299435379999998,10.562349501,11.063157035,11.696182910000001,11.567118765,12.823115565,11.610914775,10.824085435,12.501971435,12.40335507,13.013378255,11.16305587,11.038293625000001,12.541738465,13.051369815000001,11.03516023,12.96074187,12.517025605,12.257431945,11.39599819,12.797060915,13.381058825,12.201627055,12.580252415,11.871521395,11.96192182,12.46706005,12.223146365000002,12.270196845000001
LDHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
