GSM523242,mucosa_Normal_colon
GSM523243,mucosa_Normal_colon
GSM523244,mucosa_Adenoma
GSM523245,colonic_crypt_epithelial_cells_Normal_colon
GSM523246,mucosa_Normal_colon
GSM523247,mucosa_Adenoma
GSM523248,mucosa_carcinoma
GSM523249,mucosa_carcinoma
GSM523250,mucosa_carcinoma
GSM523251,mucosa_Adenoma
GSM523252,mucosa_Adenoma
GSM523253,mucosa_carcinoma
GSM523254,colonic_crypt_epithelial_cells_Adenoma
GSM523255,colonic_crypt_epithelial_cells_Normal_colon
GSM523256,colonic_crypt_epithelial_cells_Adenoma
GSM523257,colonic_crypt_epithelial_cells_carcinoma
GSM523258,colonic_crypt_epithelial_cells_carcinoma
GSM523259,colonic_crypt_epithelial_cells_Adenoma
GSM523260,colonic_crypt_epithelial_cells_Normal_colon
GSM523261,colonic_crypt_epithelial_cells_Adenoma
GSM523262,colonic_crypt_epithelial_cells_carcinoma
GSM523263,colonic_crypt_epithelial_cells_carcinoma
GSM523264,colonic_crypt_epithelial_cells_distant_Normal_colon
GSM523265,colonic_crypt_epithelial_cells_distant_Normal_colon
GSM523266,colonic_crypt_epithelial_cells_distant_Normal_colon
GSM523267,colonic_crypt_epithelial_cells_distant_Normal_colon
GSM523268,mucosa_distant_Normal_colon
GSM523269,mucosa_distant_Normal_colon
GSM523270,mucosa_distant_Normal_colon
GSM523271,mucosa_distant_Normal_colon
GSM523272,colonic_crypt_epithelial_cells_Normal_colon
GSM523273,mucosa_Normal_colon
GSM523274,mucosa_Normal_colon
GSM523275,mucosa_carcinoma
GSM523276,colonic_crypt_epithelial_cells_Normal_colon
GSM523277,colonic_crypt_epithelial_cells_Adenoma
GSM523278,colonic_crypt_epithelial_cells_carcinoma
GSM523279,colonic_crypt_epithelial_cells_distant_Normal_colon
GSM523280,mucosa_distant_Normal_colon
GSM523281,mucosa_Adenoma
GSM523282,Normal
GSM523283,Adenocarcinoma
GSM523284,Adenocarcinoma
GSM523285,Adenocarcinoma
GSM523286,Normal
GSM523287,Adenoma
GSM523288,Adenoma
GSM523289,Normal
GSM523290,Normal
GSM523291,Normal
GSM523292,Adenocarcinoma
GSM523293,Adenoma
GSM523294,Adenoma
GSM523295,Adenoma
GSM523296,Adenocarcinoma
GSM523297,Normal
GSM523298,Adenocarcinoma
GSM523299,Normal
GSM523300,Adenoma
GSM523301,Adenoma
GSM523302,Adenoma
GSM523303,Adenocarcinoma
GSM523304,Normal
GSM523305,Adenocarcinoma
GSM523306,Adenocarcinoma
GSM523307,Adenoma
GSM523308,Adenoma
GSM523309,Adenoma
GSM523310,Normal
GSM523311,Normal
GSM523312,Adenocarcinoma
GSM523313,Adenocarcinoma
GSM523314,Normal
GSM523315,Adenoma
GSM523316,Adenocarcinoma
GSM523317,Adenocarcinoma
GSM523318,Adenocarcinoma
GSM523319,Adenoma
GSM523320,Adenoma
GSM523321,Adenoma
GSM523322,Adenoma
GSM523323,Adenocarcinoma
GSM523324,Normal
GSM523325,Adenocarcinoma
GSM523326,Adenocarcinoma
GSM523327,Adenoma
GSM523328,Adenoma
GSM523329,Adenoma
GSM523330,Normal
GSM523331,Adenocarcinoma
GSM523332,Adenocarcinoma
GSM523333,Adenoma
GSM523334,Adenoma
GSM523335,Adenoma
GSM523336,Adenoma
GSM523337,Adenocarcinoma
GSM523338,Normal
GSM523339,Adenocarcinoma
GSM523340,Adenoma
GSM523341,Adenoma
GSM523342,Adenoma
GSM523343,Normal
GSM523344,Adenocarcinoma
GSM523345,Adenocarcinoma
GSM523346,Adenoma
GSM523347,Adenoma
GSM523348,Adenoma
GSM523349,Normal
GSM523350,Adenocarcinoma
GSM523351,Adenocarcinoma
GSM523352,Adenocarcinoma
GSM523353,Adenoma
GSM523354,Adenoma
GSM523355,Adenoma
GSM523356,Adenoma
GSM523357,Adenocarcinoma
GSM523358,Normal
GSM523359,Adenocarcinoma
GSM523360,Normal
GSM523361,Adenoma
GSM523362,Adenoma
GSM523363,Adenoma
GSM523364,Normal
GSM523365,Normal
GSM523366,Adenocarcinoma
GSM523367,Adenoma
GSM523368,Adenocarcinoma
GSM523369,Normal
GSM523370,Adenocarcinoma
GSM523371,Adenocarcinoma
GSM523372,Adenocarcinoma
GSM523373,Normal
GSM523374,Adenoma
GSM523375,Adenoma
GSM523376,Adenoma
GSM523377,Normal
GSM523378,Adenocarcinoma
GSM523379,Adenocarcinoma
GSM523380,Adenocarcinoma
GSM523381,Adenoma
GSM523382,Normal
GSM523383,Adenoma
GSM523384,Adenoma
GSM523385,Adenoma
GSM523386,Adenoma